'd360635,Christian Nassif-Haynes,2018-06-14,TRAPBURIAL-20 - Petra's comment 13/Jun/2018'
'7c7ee7c,DoxasticFox,2018-06-08,TRAPBURIAL-20'
'9996071,DoxasticFox,2018-06-08,Updated module to work with latest autogen'
'edb61b9,DoxasticFox,2018-03-06,Recompiled'
'3b8d882,petrajanouchova,2018-03-06,replaced Unknown Feature Type with Surface Scatter'
'ce758dd,Terry Bui,2017-09-15,added static files, change file location in ui_logic'
'5f45715,Terry Bui,2017-09-13,added addOnEvent for loadSpatialLayers when module load'
'9c5e2b0,Petra Janouchova,2017-09-12,new screenshots in the readme file'
'526fbf5,Petra Janouchova,2017-09-12,new screenshots in the readme file'
'001ae2a,Petra Janouchova,2017-09-12,new screenshots'
'49f75d5,pettulda,2017-09-12,fixed typos'
'f56c222,pettulda,2017-09-12,initial readme'
'a30c01d,Terry Bui,2017-09-08,fixed association with table and their layer'
'3e26b37,Terry Bui,2017-09-08,rename Elenovo basemap'
'6d94581,Terry Bui,2017-09-08,preload table with its own layer'
'9ecec7e,Adela Sobotkova,2017-09-08,Changed name of Elenovo basemap'
'264e767,Terry Bui,2017-09-08,added images for landuse'
'a344537,Terry Bui,2017-09-08,search by most recently created on top'
'7e5199f,Terry Bui,2017-09-05,using Elenovo as BaseMap'
'2534e21,Terry Bui,2017-09-05,TRAPBURIAL-18 - added additional attributes and sort search by most recently created'
'b5f4ee9,Adela Sobotkova,2017-09-02,Changed base map reference'
'25f6736,Terry Bui,2017-08-22,change color gradation based on attribute coded values to just one color for Burial Mound'
'455751e,Terry Bui,2017-08-21,TRAPBURIAL-14, task 1-3 and 5'
'104f613,Terry Bui,2017-08-18,restraint user log in, a user must be slected to log in, change landuse around mound + on top of mound to picture gallery'
'7652823,Terry Bui,2017-08-15,TRAPBURIAL-12 Fix point 2, some android device ended Date with a '.' character, added check to strip away trailing '.' character if exist'
'182779e,Terry Bui,2017-08-15,Remove null option from user dropdown menu'
'09df6fc,Terry Bui,2017-08-11,Start > Table > Select Date now set to None when change tab or tab group'
'efab369,Terry Bui,2017-08-09,made Longitude and Latitude required fields'
'ad3cec0,Terry Bui,2017-08-08,perform requested change 4-9 for TRAPBURIAL-11'
'0b2de9e,Terry Bui,2017-08-07,placed Map > Map Create Shape and Centre Me button next to each other as columns rather than rows, change Mound identifier to Mound ID - Author'
'c315a37,Terry Bui,2017-07-31,use pictures for info box for Burial Mound / Landuse around Mound & Landuse on top of Mound, modify Mound identifer to 'Mound ID - Type''
'd89e454,Terry Bui,2017-07-31,remove style.css'
'5aca34e,Terry Bui,2017-07-31,Merge branch 'terry''
'28891a3,Terry Bui,2017-07-31,remove the password prompt from the module'
'a12b1b5,Terry Bui,2017-07-31,added onSaveShape() function to fix bug where saveShape() calls onSaveShape() function when it has not been defined yet'
'19381a4,Terry Bui,2017-07-28,rename Object ID to Mound ID, make Mound ID text color same as read only text'
'4043725,Terry Bui,2017-07-27,added css styling for objectid'
'7f700ab,Terry Bui,2017-07-27,change Object ID style class'
'2b6688f,Terry Bui,2017-07-27,made Burial Mound > General > Source field value save to local setting'
'e6b247e,Terry Bui,2017-07-27,trim module down to new specification, added search by user'
'f4d0215,Terry Bui,2017-07-26,rename Control tab group to Start'
'2de082a,Christian Nassif-Haynes,2017-05-10,Generated with latest autogen'
'604ee95,Christian Nassif-Haynes,2017-02-22,Adela's changes'
'101afe4,Christian Nassif-Haynes,2017-02-22,Adela's changes'
'6bc815c,Christian Nassif-Haynes,2017-02-20,Implemented GIS stuff, regenerated with Python-based autogen'
'15a1f7d,Christian Nassif-Haynes,2017-02-17,Something that kinda works'
'd53decd,Christian Nassif-Haynes,2016-10-31,More of Adela's changes'
'ec4a857,Christian Nassif-Haynes,2016-10-31,Some changes according to Adela's email, 'Checking in''
'01a09bb,Christian Nassif-Haynes,2016-03-21,Added license'
'41247b3,Christian Nassif-Haynes,2016-02-23,Couple of bug fixes'
'3be4b3a,Christian Nassif-Haynes,2016-02-22,Hopefully the table view actually works this time'
'c0cd716,Christian Nassif-Haynes,2016-02-22,Finished adding table view'
'14076ef,Christian Nassif-Haynes,2016-02-22,Forgot a file'
'984afee,Christian Nassif-Haynes,2016-02-22,Broken table view'
'd846906,Christian Nassif-Haynes,2016-02-22,Useless renaming'
'30ab208,Christian Nassif-Haynes,2016-02-18,Further mucking with file( name)s'
'62fe99e,Christian Nassif-Haynes,2016-02-18,Mucked around with folder names'
'ed5e596,Christian Nassif-Haynes,2015-10-23,Generated with latest version of autogenerator'
'1e06e20,Brian Ballsun-Stanton,2015-08-29,generated files'
'8afd3cd,Christian Nassif-Haynes,2015-08-28,New file'